By Command
°C→°F	[degree]C[->][degree]F	C>F
α Q	[alpha] Q	'Q'
α q	[alpha] q	'q'
α r	[alpha] r	'r'
α R	[alpha] R	'R'
α Ř	[alpha] [R-hook]	'R-hook'
α ř	[alpha] [r-hook]	'r-hook'
α s	[alpha] s	's'
α S	[alpha] S	'S'
α š	[alpha] [s-hook]	's-hook'
α Š	[alpha] [S-hook]	'S-hook'
α ß	[alpha] [sz]	'sz'
α T	[alpha] T	'T'
α t	[alpha] t	't'
α ᵤ	[alpha] [sub-u]	'sub-u'
α u	[alpha] u	'u'
α U	[alpha] U	'U'
α ù	[alpha] [u-grave]	'u-grave'
α Ù	[alpha] [U-grave]	'U-grave'
α Ú	[alpha] [U-acute]	'U-acute'
α ú	[alpha] [u-acute]	'u-acute'
α ũ	[alpha] [u-tilde]	'u-tilde'
α Ũ	[alpha] [U-tilde]	'U-tilde'
α Ü	[alpha] [U-umlaut]	'U-umlaut'
α ü	[alpha] [u-umlaut]	'u-umlaut'
α Û	[alpha] [U-dot]	'U-dot'
α û	[alpha] [u-dot]	'u-dot'
α v	[alpha] v	'v'
α V	[alpha] V	'V'
α ⒲	[alpha] [sub-w]	'sub-w'
α W	[alpha] W	'W'
α w	[alpha] w	'w'
α ᵡ	[alpha] [^x]	'^x'
α ₓ	[alpha] [sub-x]	'sub-x'
α Ẁ	[alpha] [x-bar]	'x-bar'
α X	[alpha] X	'X'
α x	[alpha] x	'x'
α ẋ	[alpha] [x-hat]	'x-hat'
α ᵧ	[alpha] [sub-y]	'sub-y'
α y	[alpha] y	'y'
α Y	[alpha] Y	'Y'
α ý	[alpha] [y-acute]	'y-acute'
α Ý	[alpha] [Y-acute]	'Y-acute'
α ȳ	[alpha] [y-bar]	'y-bar'
α ŷ	[alpha] [y-hat]	'y-hat'
α ÿ	[alpha] [y-trema]	'y-trema'
α Ÿ	[alpha] [Y-trema]	'Y-trema'
α z	[alpha] z	'z'
α Z	[alpha] Z	'Z'
α Ž	[alpha] [Z-hook]	'Z-hook'
α ž	[alpha] [z-hook]	'z-hook'
α α	[alpha] [alpha]	'alpha'
α β	[alpha] [beta]	'beta'
α Γ	[alpha] [GAMMA]	'GAMMA'
α γ	[alpha] [gamma]	'gamma'
α δ	[alpha] [delta]	'delta'
α Δ	[alpha] [DELTA]	'DELTA'
α ε	[alpha] [epsilon]	'epsilon'
α ζ	[alpha] [zeta]	'zeta'
α η	[alpha] [eta]	'eta'
α Θ	[alpha] [THETA]	'THETA'
α θ	[alpha] [theta]	'theta'
α ι	[alpha] [iota]	'iota'
α κ	[alpha] [kappa]	'kappa'
α λ	[alpha] [lambda]	'lambda'
α Λ	[alpha] [LAMBDA]	'LAMBDA'
α μ	[alpha] [mu]	'mu'
α ¶	[alpha] [sub-mu]	'sub-mu'
α ν	[alpha] [nu]	'nu'
α ξ	[alpha] [xi]	'xi'
α Ξ	[alpha] [XI]	'XI'
α Π	[alpha] [PI]	'PI'
α π	[alpha] [pi]	'pi'
α ρ	[alpha] [rho]	'rho'
α Σ	[alpha] [SIGMA]	'SIGMA'
α σ	[alpha] [sigma]	'sigma'
α τ	[alpha] [tau]	'tau'
α υ	[alpha] [upsilon]	'upsilon'
α φ	[alpha] [phi]	'phi'
α Φ	[alpha] [PHI]	'PHI'
α χ	[alpha] [chi]	'chi'
α Ψ	[alpha] [PSI]	'PSI'
α ψ	[alpha] [psi]	'psi'
α Ω	[alpha] [OMEGA]	'OMEGA'
α ω	[alpha] [omega]	'omega'
α (	[alpha] (	'('
α )	[alpha] )	')'
α +	[alpha] +	'+'
α -	[alpha] -	'-'
α ⁸	[alpha] [^-1]	'^-1'
α ×	[alpha] [times]	'times'
α /	[alpha] /	'/'
α ±	[alpha] [+/-]	'+/-'
α ,	[alpha] ,	','
α .	[alpha] .	'.'
α !	[alpha] !	'!'
α ?	[alpha] ?	'?'
α :	[alpha] :	':'
α ;	[alpha] ;	';'
α '	[alpha] '	'''
α "	[alpha] "	'"'
α *	[alpha] *	'*'
α ⁺	[alpha] [super-star]	'super-star'
α @	[alpha] @	'@'
α _	[alpha] _	'_'
α ~	[alpha] ~	'~'
α ¬	[alpha] [not]	'not'
α →	[alpha] [->]	'->'
α ←	[alpha] [<-]	'<-'
α ↑	[alpha] [^]	'[^]'
α ↓	[alpha] [v]	'[v]'
α ⇆	[alpha] [<->]	'<->'
α <	[alpha] <	'<'
α ≤	[alpha] [<=]	'<='
α =	[alpha] =	'='
α ≈	[alpha] [approx]	'approx'
α ≠	[alpha] [!=]	'!='
α ≥	[alpha] [>=]	'>='
α >	[alpha] >	'>'
α %	[alpha] %	'%'
α $	[alpha] $	'$'
α €	[alpha] [euro]	'euro'
α £	[alpha] [pound]	'pound'
α ¥	[alpha] [yen]	'yen'
α √	[alpha] [sqrt]	'sqrt'
α ∫	[alpha] [integral]	'integral'
α ∞	[alpha] [infinity]	'infinity'
α ₈	[alpha] [sub-infinity]	'sub-infinity'
α ☉	[alpha] [sol]	'sol'
α ♁	[alpha] [terra]	'terra'
α &	[alpha] &	'&'
α \	[alpha] \	'\'
α ^	[alpha] ^	'^'
α |	[alpha] |	'|'
α Ⓖ	[alpha] [grad]	'grad'
α [	[alpha] [	'['
α ]	[alpha] ]	']'
α {	[alpha] {	'{'
α }	[alpha] }	'}'
α ⎙	[alpha] [print]	'print'
α ↕	[alpha] [^v]	'^v'
α `	[alpha] `	'`'
α #	[alpha] #	'#'
αDATE	[alpha]DATE	aDATE
αDAY	[alpha]DAY	aDAY
αGTO	[alpha]GTO	aGTO
αIP	[alpha]IP	aIP
αLENG	[alpha]LENG	aLENG
αMONTH	[alpha]MONTH	aMONTH
αOFF	[alpha]OFF	aOFF
αON	[alpha]ON	aON
αRCL	[alpha]RCL	aRCL
αRC#	[alpha]RC#	aRC#
αRL	[alpha]RL	aRL
αRR	[alpha]RR	aRR
αSL	[alpha]SL	aSL
αSR	[alpha]SR	aSR
αSTO	[alpha]STO	aSTO
αTIME	[alpha]TIME	aTIME
αXEQ	[alpha]XEQ	aXEQ
α→x	[alpha][->]x	a>x
β	[beta]	BETA
©β	[cmplx][beta]	cBETA
Γ	[GAMMA]	GAMMA
©Γ	[cmplx][GAMMA]	cGAMMA
ΔDAYS	[DELTA]DAYS	DELTADAYS
Δ%	[DELTA]%	%CH
ε	[epsilon]	epsilon
εm	[epsilon]m	epsilon-m
εₚ	[epsilon][sub-p]	epsilon-pop
ζ	[zeta]	ZETA
Π	[PI]	PROD
Π	[PI]	PROD
σ	[sigma]	sigma
Σ	[SIGMA]	SUM
Σ	[SIGMA]	SUM
Σln²x	[SIGMA]ln[^2]x	SUMln2x
Σln²y	[SIGMA]ln[^2]y	SUMln2y
Σlnx	[SIGMA]lnx	SUMlnx
Σlnxy	[SIGMA]lnxy	SUMlnxy
Σlny	[SIGMA]lny	SUMlny
σw	[sigma]w	sigma-w
Σx	[SIGMA]x	SUMx
Σx²	[SIGMA]x[^2]	SUMx2
Σx²y	[SIGMA]x[^2]y	SUMx2y
Σxlny	[SIGMA]xlny	SUMxlny
Σxy	[SIGMA]xy	SUMxy
Σy	[SIGMA]y	SUMy
Σy²	[SIGMA]y[^2]	SUMy2
Σylnx	[SIGMA]ylnx	SUMylnx
Σ+	[SIGMA]+	SIGMA+
Σ-	[SIGMA]-	SIGMA-
Φᵤ(x)	[PHI][sub-u](x)	Q-u
Φ(x)	[PHI](x)	PHI(x)
φ(x)	[phi](x)	phi(x)
Φ⁸(p)	[PHI][^-1](p)	INV-PHI
χ²	[chi][^2]	CHI2
χ²INV	[chi][^2]INV	INV-CHI2
χ²ₚ	[chi][^2][sub-p]	chi2
(-1)ᵡ	(-1)[^x]	(-1)^x
©(-1)ᵡ	[cmplx](-1)[^x]	c(-1)^x
©+	[cmplx]+	c+
©+/-	[cmplx]+/-	c+/-
+/-	+/-	CHS
©+/-	[cmplx]+/-	cCHS
©-	[cmplx]-	c-
×	[times]	*
©×	[cmplx][times]	c*
©/	[cmplx]/	c/
→A..D	[->]A..D	
→DATE	[->]DATE	>DATE
→DEG	[->]DEG	>DEG
→GRAD	[->]GRAD	>GRAD
→HR	[->]HR	>HR
→H.MS	[->]H.MS	>H.MS
→POL	[->]POL	>POL
→RAD	[->]RAD	>RAD
→REC	[->]REC	>REC
⇆	[<->]	<>
%Σ	%[SIGMA]	%SUM
√	[sqrt]	SQRT
©√	[cmplx][sqrt]	cSQRT
∫	[integral]	INTG
∫	[integral]	INTG
∞?	[infinity]?	INF?
©||	[cmplx]||	c||
⎙ADV	[print]ADV	P.ADV
⎙CHR	[print]CHR	P.CHR
⎙DLAY	[print]DLAY	P.DLAY
⎙MODE	[print]MODE	P.MODE
⎙PROG	[print]PROG	P.PROG
⎙r	[print]r	P.r
⎙REGS	[print]REGS	P.REGS
⎙STK	[print]STK	P.STK
⎙TAB	[print]TAB	P.TAB
⎙α	[print][alpha]	P.a
⎙α+	[print][alpha]+	P.a+
⎙Σ	[print][SIGMA]	P.SUMS
⎙+α	[print]+[alpha]	P.+a
⎙?	[print]?	PRT?
⎙#	[print]#	P.#
©#	[cmplx]#	c#
# 1/√5	# 1/[sqrt]5	# RECIP_SQRT5
# a₀	# a[sub-0]	# a0
# aₘ	# a[sub-m]	# SM_luna
# a♁	# a[terra]	# SM_terra
# c₁	# c[sub-1]	# C1
# c₂	# c[sub-2]	# C2
# Fα	# F[alpha]	# F_alpha
# Fδ	# F[delta]	# F_delta
# G₀	# G[sub-0]	# Go
# G⒞	# G[sub-c]	# catalan
# gₑ	# g[sub-e]	# Ge
# ħ	# [h-bar]	# hon2PI
# L10⁸	# L10[^-1]	# RECIPLN10
# LN2⁸	# LN2[^-1]	# RECIPLN2
# lₚ	# l[sub-p]	# PlanckL
# mₑ	# m[sub-e]	# me
# Mₘ	# M[sub-m]	# M_luna
# mₙ	# m[sub-n]	# mn
# mₚ	# m[sub-p]	# mp
# Mₚ	# M[sub-p]	# PlanckM
# mᵤ	# m[sub-u]	# mu
# mᵤc²	# m[sub-u]c[^2]	# muc2
# m¶	# m[sub-mu]	# mMu
# M☉	# M[sol]	# M_sol
# M♁	# M[terra]	# M_terra
# Nₐ	# N[sub-A]	# Na
# p₀	# p[sub-0]	# atm
# qₚ	# q[sub-p]	# PlanckQ
# rₑ	# r[sub-e]	# Re
# Rₖ	# R[sub-k]	# Rk
# Rₘ	# R[sub-m]	# R_luna
# R₈	# R[sub-infinity]	# Rinf
# R☉	# R[sol]	# R_sol
# R♁	# R[terra]	# R_terra
# Se²	# Se[^2]	# WGS_E2
# Se'²	# Se'[^2]	# WGS_ES2
# Sf⁸	# Sf[^-1]	# WGS_F
# T₀	# T[sub-0]	# t
# Tₚ	# T[sub-p]	# PlanckTh
# tₚ	# t[sub-p]	# tp
# Vₘ	# V[sub-m]	# Vm
# Z₀	# Z[sub-0]	# Zo
