By Command
°C→°F	[degree]C[->][degree]F	C>F
[cmplx]TANH	©TANH	cTANH
tons[->]t	tons→t	tons>t
torr[->]Pa	torr→Pa	torr>Pa
tr.oz[->]g	tr.oz→g	tr.oz>g
U[sub-n]	Uₙ	Un
VIEW[alpha]	VIEWα	VIEWa
VW[alpha]+	VWα+	VWa+
W[->]hp	W→hp	W>hp
W[->]HP[sub-e]	W→HPₑ	W>HP[sub-e]
W[->]hpUK	W→hpUK	W>hpUK
W[->]PS(hp)	W→PS(hp)	W>PS(hp)
W[^-1]	W⁸	INV-W
[cmplx]W[^-1]	©W⁸	cINV-W
W[sub-m]	Wₘ	W1
W[sub-p]	Wₚ	W0
[cmplx]W[sub-p]	©Wₚ	cW0
Weibl[^-1]	Weibl⁸	INV-Weibl
Weibl[sub-p]	Weiblₚ	Weibl-p
Weibl[sub-u]	Weiblᵤ	Weibl-u
[cmplx]x!	©x!	cx!
[cmplx]x=0?	©x=0?	cx=0?
[cmplx]x=1?	©x=1?	cx=1?
[cmplx]x=?	©x=?	cx=?
[cmplx]x=i?	©x=i?	cx=i?
x[!=]0?	x≠0?	x!=0?
[cmplx]x[!=]0?	©x≠0?	cx!=0?
x[!=]1?	x≠1?	x!=1?
[cmplx]x[!=]1?	©x≠1?	cx!=1?
x[!=]?	x≠?	x!=?
[cmplx]x[!=]?	©x≠?	cx!=?
[cmplx]x[!=]i?	©x≠i?	cx!=i?
x[->][alpha]	x→α	x>a
x[<->]	x⇆	SWAP
[cmplx]x[<->]	©x⇆	cSWAP
x[<->]	x⇆	x<>
[cmplx]x[<->]	©x⇆	cx<>
x[<->]	x⇆	x<>y
x[<=]0?	x≤0?	x<=0?
x[<=]1?	x≤1?	x<=1?
x[<=]?	x≤?	x<=?
x[>=]0?	x≥0?	x>=0?
x[>=]1?	x≥1?	x>=1?
x[>=]?	x≥?	x>=?
x[^2]	x²	x^2
[cmplx]x[^2]	©x²	cx^2
x[^3]	x³	x^3
[cmplx]x[^3]	©x³	cx^3
x[approx]0?	x≈0?	x~0?
x[approx]1?	x≈1?	x~1?
x[approx]?	x≈?	x~?
XEQ[alpha]	XEQα	XEQa
y[<->]	y⇆	y<>
y[^x]	yᵡ	y^x
[cmplx]y[^x]	©yᵡ	cy^x
yards[->]m	yards→m	yards>m
z[<->]	z⇆	z<>
[cmplx]z[<->]	©z⇆	cz<>
[cmplx]||	©||	c||
